57896453,80679,248030,119544,99167665,66804,46955,191709,110435,111361
10183878,15744,69744,21997,24917579,53368,14380,46488,56306,46803
194604146,305113,944717,467310,431346454,319588,210130,746023,478373,467642
21986292,35348,112515,49415,52837626,55143,34145,94137,73946,67837
107174338,158946,500774,241424,180013830,119623,81628,372549,209686,217423
36517193,57716,163325,80399,96655617,83896,55962,180040,109335,140933
796576,1501,3730,2006,2223575,1610,1091,3968,2176,2759
63521277,101927,291801,142464,133965975,99602,62953,246333,147203,170183
9466113,16229,51313,20332,32647308,19820,31015,52151,75233,48327
60104340,86012,237426,118094,118188532,74605,78021,257635,125431,175708
28767777,45022,141489,69580,73930715,114024,53814,137263,116186,84638
43045717,66169,205086,102694,83361159,73301,48636,183015,108309,124602
101570061,165304,470441,238607,199185158,130444,103712,412551,230477,245774
48849204,79172,229279,114746,98910432,66955,50900,194384,123340,130510
180614239,188656,505233,259769,546578885,182894,149379,537092,248892,492161
33193833,65448,159677,80384,67558271,38673,28382,116755,67622,77697
3728138,5615,17594,8389,7468065,5319,3655,13997,9225,9254
157629494,253630,743446,371700,323114059,214302,145186,583961,411841,386423
146192355,239092,718478,342450,289991846,227347,169805,546508,353703,329196
87547532,134181,426300,207646,143383853,97052,68798,309838,178709,161087
2838573,5301,12684,6688,6497069,4282,4287,12587,6769,8799
66329106,99233,311038,155491,111336721,69943,63654,260629,135866,127884
76751372,101943,349727,151835,145826020,115470,68853,279380,205308,249205
33547391,40537,137574,71004,67039803,52544,31646,140333,82039,141844
22983572,36091,113820,54247,42378538,32656,20980,84909,51257,50133
132352996,216558,636494,319567,251359013,173597,136095,528257,319622,301526
198792385,310032,967306,456156,358561742,267999,172651,729741,425480,459578
134988058,185103,595821,285457,242110816,160731,124079,542683,341045,375544
89712355,144767,398211,205477,179935145,134860,99256,354866,219028,231336
53296942,88188,285718,114117,119971208,144701,59933,208669,191818,185723
26853638,42869,138165,63256,50553375,42551,23526,99230,77821,64922
91440674,141119,453348,203804,192138175,205752,96929,361368,270548,299412
93905522,151043,533818,209910,190999591,256208,102830,333224,307532,254850
39676328,60207,195812,93254,67502889,46560,29613,135665,81683,73563
67322641,95930,295488,140514,126365827,84299,55343,235545,151556,192693
126745091,209828,613575,294609,273735639,196254,121636,451842,319711,334248
